danceability,energy,loudness,tempo,valence,cluster,PCA1,PCA2
0.846,0.926,-3.036,109.157,0.886,1,2.6397482650223174,0.9095785168003563
0.743,0.441,-10.273,134.168,0.697,1,0.08497743246709594,1.1891633863817577
0.297,0.989,-3.45,105.011,0.0761,0,0.0357903324390736,-2.197195349715013
0.606,0.601,-5.576,125.961,0.453,1,0.2928640598065722,-0.1375836891204825
0.241,0.369,-9.336,75.54,0.146,0,-2.187649113496701,-0.3686098842117517
0.33,0.97,-4.042,82.862,0.251,1,0.2596497135735824,-1.375274082734263
0.328,0.553,-6.252,159.959,0.322,0,-0.7121524447543183,-1.635384228078446
0.619,0.558,-12.15,195.004,0.514,0,-0.38756312052540043,-0.5024342267937938
0.711,0.33,-12.348,98.988,0.463,0,-0.9814118666218311,1.570347557153998
0.254,0.459,-7.836,128.237,0.138,0,-1.6796787843035077,-1.418508202321663
0.387,0.125,-17.28,95.99,0.0698,0,-3.5224062559694227,0.6279780454857987
0.402,0.983,-3.816,103.096,0.363,1,0.7171458362736579,-1.311381440942513
0.603,0.69,-6.725,133.968,0.42,1,0.29703002346352225,-0.3816113917258578
0.463,0.687,-8.177,177.545,0.97,1,0.824911791988954,-0.44625373923827893
0.263,0.759,-7.288,179.904,0.429,0,-0.30342650961063256,-2.21433645273508
0.807,0.606,-8.871,92.988,0.304,1,0.023283228246620265,0.9939196668770259
0.759,0.843,-3.718,105.016,0.56,1,1.583625867706827,0.32788217389785085
0.597,0.892,-5.121,80.009,0.634,1,1.2261855759541975,0.3648277802434308
0.714,0.671,-5.119,169.727,0.641,1,1.1682349003029522,-0.3053826971630193
0.65,0.282,-14.003,81.223,0.641,1,-1.163191313217149,2.160920232379747
0.651,0.669,-7.285,138.04,0.759,1,0.8902854082763444,0.3595146923137977
0.43,0.703,-5.52,149.873,0.328,0,-0.050114339942776746,-1.4406724214043471
0.668,0.522,-7.42,107.979,0.718,1,0.4521316292809108,1.053753204543363
0.73,0.403,-10.146,124.899,0.502,1,-0.37388657995629615,1.010503558045485
0.426,0.842,-6.238,157.86,0.366,0,0.24521008604363387,-1.6780311663413667
0.523,0.687,-5.601,90.036,0.711,1,0.6816808063296679,0.4682534236027344
0.224,0.32,-13.896,180.049,0.0828,0,-2.846185199631596,-1.7352318176857708
0.71,0.767,-8.745,89.873,0.593,1,0.6831203384937569,0.9675716508552816
0.468,0.867,-6.239,83.884,0.834,1,1.086538710094623,0.3655194753480525
0.661,0.937,-5.157,105.549,0.805,1,1.8173773178808938,0.39093374775537193
0.404,0.0182,-20.969,109.107,0.114,0,-4.098320401706431,1.0006150016349016
0.689,0.719,-6.096,130.0,0.674,1,1.0804336025180772,0.2897802245282718
0.333,0.538,-8.653,149.377,0.63,0,-0.5216198402017166,-0.7235914225715453
0.661,0.576,-6.025,123.425,0.924,1,1.1271535145284584,0.9516083762085374
0.455,0.389,-9.323,174.444,0.449,0,-0.9373466893109043,-0.7543654045494208
0.594,0.787,-6.287,81.073,0.682,1,0.9172292253989498,0.6750128779605647
0.855,0.733,-6.693,166.033,0.348,1,0.9109524856014188,-0.284420795722708
0.643,0.905,-8.215,90.059,0.892,1,1.435241836724513,1.0066291271813532
0.433,0.483,-9.422,68.492,0.717,1,-0.5080273490909891,1.1439153127128072
0.559,0.975,-4.487,105.024,0.0762,1,0.47475380060146066,-1.2751123467685839
0.44,0.838,-6.196,138.908,0.619,1,0.6835977568166318,-0.9039697801834566
0.598,0.808,-5.209,128.025,0.288,1,0.5058135117575117,-0.8312545226831156
0.749,0.815,-6.381,102.218,0.866,1,1.6869494197941488,1.108339000197997
0.51,0.861,-4.658,96.497,0.507,1,0.8216284697078434,-0.36766850265764317
0.609,0.539,-8.087,99.995,0.413,1,-0.28052332942932123,0.4964210903229972
0.668,0.575,-6.34,134.037,0.619,1,0.5844472487501398,0.31319545510916447
0.612,0.904,-6.222,95.046,0.744,1,1.366758716000284,0.4297284552096237
0.916,0.547,-12.566,114.914,0.973,1,0.8795012301221387,2.5088195740516777
0.568,0.907,-4.641,112.037,0.337,1,0.7916157316498851,-0.7920327653140367
0.807,0.606,-8.871,92.988,0.304,1,0.023283228246620265,0.9939196668770259
0.337,0.264,-15.015,90.013,0.145,0,-2.909880026898919,0.30140880230940537
0.226,0.599,-6.847,95.328,0.0653,0,-1.4861753416132508,-1.413705293182748
0.534,0.487,-11.201,112.989,0.237,0,-1.2567948481875326,0.07663207680492488
0.584,0.7,-4.251,163.953,0.549,1,0.8741401254874821,-0.8915692143667324
0.704,0.691,-5.414,143.982,0.427,1,0.7307499113720483,-0.3099874573998095
0.286,0.35,-8.427,129.796,0.0871,0,-2.015889028396282,-1.2123247470377814
0.191,0.0485,-22.198,72.375,0.0707,0,-4.820396387233578,0.8765667883181305
0.791,0.534,-13.261,127.488,0.963,1,0.4778037842645667,1.977142123821582
0.458,0.876,-3.638,97.972,0.664,1,1.145043607052687,-0.38677271729557783
0.659,0.864,-5.427,165.848,0.901,1,1.889517576596652,-0.25530568601882936
0.109,0.854,-6.758,79.958,0.134,0,-1.0724113427303201,-1.8334341010133999
